id,title,url,description,topic,type,owner,origin,source,access,evidence,notes,checked,linkStatus,scope,audienceTags,audienceLabel,discoveryNote,facultyFocused
T019,How to Set Clear Expectations,https://www.youtube.com/watch?v=Tl2fH7MMUh4,A video included in HROE’s supervisor resource collection.,Performance and accountability,Video,Crucial Learning,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T020,Managers Matter,https://www.dalecarnegie.com/en/resources/enhancing-employee-engagement-the-role-of-the-immediate-supervisor,An article included in HROE’s supervisor resource collection.,Trust and teamwork,Article,Dale Carnegie,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,Direct check 403; confirm access with publisher,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T021,Recognizing Leadership Blind Spots,https://www.dalecarnegie.com/en/resources/recognizing-leadership-blind-spots,An article included in HROE’s supervisor resource collection.,Professional growth,Article,Dale Carnegie,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,Direct check 403; confirm access with publisher,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T022,Humble Leaders,https://www.dalecarnegie.com/en/resources/humble-leaders-what-defines-them-and-how-they-unlock-a-high-performance-culture,An article included in HROE’s supervisor resource collection.,Trust and teamwork,Article,Dale Carnegie,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,Direct check 403; confirm access with publisher,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T023,Congratulations On Being Promoted! Are You a Leader Yet?,https://www.johnmaxwell.co/free-resources/a-22-lightbox.html,An article included in HROE’s supervisor resource collection.,Professional growth,Article,Maxwell Leadership,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T024,3 Ways Leaders Can Mobilize Team Members,https://www.johnmaxwell.co/free-resources/a-29-lightbox.html,An article included in HROE’s supervisor resource collection.,Trust and teamwork,Article,Maxwell Leadership,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T025,The Importance of 1-on-1 Meetings,https://www.cultureamp.com/blog/the-importance-of-1-on-1-meetings,Use individual meetings to stay connected and support an employee’s work.,Coaching and mentoring,Article,Culture Amp,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T026,Managing in a VUCA World,https://www.mindtools.com/asnydwg/managing-in-a-vuca-world,An article included in HROE’s supervisor resource collection.,Change and adaptability,Article,Mind Tools,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,Direct check 403; confirm access with publisher,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T027,Work-Life Integration vs. Work-Life Balance,https://www.uschamber.com/co/grow/thrive/work-life-integration-vs-work-life-balance,An article included in HROE’s supervisor resource collection.,Professional growth,Article,U.S. Chamber of Commerce,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T028,How to Advocate for Your Team,https://cruciallearning.com/blog/how-to-advocate-for-your-team/,A video included in HROE’s supervisor resource collection.,Trust and teamwork,Video,Crucial Learning,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T029,Enabling Leaders to Move Employee Engagement to the Next Level,https://www.dalecarnegie.com/en/resources/enabling-leaders-to-move-employee-engagement-to-the-next-level,A video included in HROE’s supervisor resource collection.,Trust and teamwork,Video,Dale Carnegie,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,Direct check 403; confirm access with publisher,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T030,Be a Better Leader:  Build a Culture of Resilience and Psychological Safety,https://resources.franklincovey.com/be-a-better-leader/be-a-better-leader-build-a-culture-of-resilience-and-psychological-safety,A video included in HROE’s supervisor resource collection.,Change and adaptability,Video,FranklinCovey,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T031,Become a More Successful Leader by Creating a Culture of Feedback,https://resources.franklincovey.com/be-a-better-leader/culture-of-feedback,A video included in HROE’s supervisor resource collection.,Communication and feedback,Video,FranklinCovey,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T032,5 Ways to Lead in an Era of Constant Change,https://www.ted.com/talks/jim_hemerling_5_ways_to_lead_in_an_era_of_constant_change,A video included in HROE’s supervisor resource collection.,Change and adaptability,Video,TED,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,Direct check unavailable; confirm access with publisher,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T033,A Guide To Collaborative Leadership,https://www.ted.com/talks/lorna_davis_a_guide_to_collaborative_leadership,A video included in HROE’s supervisor resource collection.,Trust and teamwork,Video,TED,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,Direct check unavailable; confirm access with publisher,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T034,"Great Leadership is a Network, Not a Hierarchy",https://www.ted.com/talks/gitte_frederiksen_great_leadership_is_a_network_not_a_hierarchy,A video included in HROE’s supervisor resource collection.,Trust and teamwork,Video,TED,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,Direct check unavailable; confirm access with publisher,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T035,How Great Leaders Innovate Responsibly,https://www.ted.com/talks/ken_chenault_how_great_leaders_innovate_responsibly,A video included in HROE’s supervisor resource collection.,Change and adaptability,Video,TED,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,Direct check unavailable; confirm access with publisher,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T036,Why good leaders make you feel safe,https://www.ted.com/talks/simon_sinek_why_good_leaders_make_you_feel_safe,A video included in HROE’s supervisor resource collection.,Trust and teamwork,Video,TED,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,Direct check unavailable; confirm access with publisher,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T037,Why We Need to Treat Our Employees As Thoughtfully As Our Customers,https://www.ted.com/talks/diana_dosik_why_we_need_to_treat_our_employees_as_thoughtfully_as_our_customers,A video included in HROE’s supervisor resource collection.,Trust and teamwork,Video,TED,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,Direct check unavailable; confirm access with publisher,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T038,What Employees Want from Managers,https://vimeo.com/941996955/9f0bcc16b9?share=copy,A Managers’ Minutes recording selected by HROE.,Trust and teamwork,Video,HROE | Managers’ Minutes,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T039,Managing Generations in the Workplace,https://vimeo.com/932615074/12c23ed69e?share=copy,A Managers’ Minutes recording selected by HROE.,Trust and teamwork,Video,HROE | Managers’ Minutes,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T040,Management Strategy: Having Fun at Work,https://vimeo.com/941995652/efd86e494a?share=copy,A Managers’ Minutes recording selected by HROE.,Trust and teamwork,Video,HROE | Managers’ Minutes,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T041,Management Strategy: Effective 1 on 1's,https://vimeo.com/941748330/1a816fc89a?share=copy,A Managers’ Minutes recording selected by HROE.,Coaching and mentoring,Video,HROE | Managers’ Minutes,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T042,Management Strategy: Constructive Feedback,https://vimeo.com/932608212/92e34a441c?share=copy,A Managers’ Minutes recording selected by HROE.,Communication and feedback,Video,HROE | Managers’ Minutes,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T043,Management Strategy: Conducting Stay Interviews,https://vimeo.com/943355050/a2ae6a5d35?share=copy,A Managers’ Minutes recording selected by HROE.,Coaching and mentoring,Video,HROE | Managers’ Minutes,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T044,"Giving Yourself a Leadership ""Wellness Check-up""",https://vimeo.com/932559712/e0088cc684?share=copy,A Managers’ Minutes recording selected by HROE.,Professional growth,Video,HROE | Managers’ Minutes,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T045,Give Me a Break!,https://vimeo.com/932555977/1972a5fcd7?share=copy,A Managers’ Minutes recording selected by HROE.,Professional growth,Video,HROE | Managers’ Minutes,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T046,Building Trust & Advocating for Your Employees,https://vimeo.com/941985390/e1f2f57fb2?share=copy,A Managers’ Minutes recording selected by HROE.,Trust and teamwork,Video,HROE | Managers’ Minutes,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T047,Introduction to Microsoft Teams,https://vimeo.com/932557380/f291a6855f?share=copy,A Managers’ Minutes recording selected by HROE.,Digital skills,Video,HROE | Managers’ Minutes,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T048,Exploring LinkedIn Learning Collections,https://vimeo.com/941997706/162fbca0d6?share=copy,A Managers’ Minutes recording selected by HROE.,Digital skills,Video,HROE | Managers’ Minutes,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
