id,title,description,url,owner,scope,audience,stages,type,topic,duration,delivery,cost,eligibility,status,notes,contact,sourceBasis,checked,audienceTags,audienceLabel,discoveryNote,facultyFocused
O001,A&M System New Manager Training Program,Follow a sequence introducing System manager responsibilities and tools.,https://www.tamus.edu/business/training/system-new-manager-training/,A&M System Training / HROE Organizational Development,Other,System employees,Start at A&M; Lead people,Program,Supervisor onboarding; operational foundations,Nine component courses; check LMS for durations,TrainTraq online sequence,Not published; confirm with provider,New managers at System members; member-specific requirements may differ.,Published offering; enrollment not checked,Parent program; do not add its record to the component count when reporting unique courses.,orgdev@tamu.edu,Official provider page reviewed,2026-09-16,System,System employees,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O002,A&M System New Manager Training: Introduction,Overview of the learning sequence.,https://www.tamus.edu/business/training/system-new-manager-training/,A&M System Training,Other,System employees,Start at A&M; Lead people,Course,Manager foundations,Not published,Online in TrainTraq,Not published; confirm with provider,System managers; member-specific assignments apply.,Published offering; enrollment not checked,"TrainTraq course ID 2114985. Component of the System New Manager Training Program; operational/compliance content is included for context, not counted as dedicated leadership education.",orgdev@tamu.edu,Official provider page reviewed,2026-09-16,System,System employees,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O003,Management Overview for New Supervisors,Orientation to supervisor responsibilities.,https://www.tamus.edu/business/training/system-new-manager-training/,A&M System Training,Other,System employees,Start at A&M; Lead people,Course,Manager foundations,Not published,Online in TrainTraq,Not published; confirm with provider,System managers; member-specific assignments apply.,Published offering; enrollment not checked,"TrainTraq course ID 1002. Component of the System New Manager Training Program; operational/compliance content is included for context, not counted as dedicated leadership education.",orgdev@tamu.edu,Official provider page reviewed,2026-09-16,System,System employees,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O004,Working in Workday for Managers,Manager workflows in Workday.,https://www.tamus.edu/business/training/system-new-manager-training/,A&M System Training,Other,System employees,Start at A&M; Lead people,Course,Manager foundations,Not published,Online in TrainTraq,Not published; confirm with provider,System managers; member-specific assignments apply.,Published offering; enrollment not checked,"TrainTraq course ID 2114108. Component of the System New Manager Training Program; operational/compliance content is included for context, not counted as dedicated leadership education.",orgdev@tamu.edu,Official provider page reviewed,2026-09-16,System,System employees,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O005,TrainTraq for Managers,Manage employee learning assignments.,https://www.tamus.edu/business/training/system-new-manager-training/,A&M System Training,Other,System employees,Start at A&M; Lead people,Course,Manager foundations,Not published,Online in TrainTraq,Not published; confirm with provider,System managers; member-specific assignments apply.,Published offering; enrollment not checked,"TrainTraq course ID 2114955. Component of the System New Manager Training Program; operational/compliance content is included for context, not counted as dedicated leadership education.",orgdev@tamu.edu,Official provider page reviewed,2026-09-16,System,System employees,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O006,ADA for Supervisors and Faculty,Accessibility responsibilities for supervisors.,https://www.tamus.edu/business/training/system-new-manager-training/,A&M System Training,Other,System employees,Start at A&M; Lead people,Course,Manager foundations,Not published,Online in TrainTraq,Not published; confirm with provider,System managers; member-specific assignments apply.,Published offering; enrollment not checked,"TrainTraq course ID 2111125. Component of the System New Manager Training Program; operational/compliance content is included for context, not counted as dedicated leadership education.",orgdev@tamu.edu,Official provider page reviewed,2026-09-16,System,System employees,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O007,Leave Guidance for Supervisors,Administer employee leave.,https://www.tamus.edu/business/training/system-new-manager-training/,A&M System Training,Other,System employees,Start at A&M; Lead people,Course,Manager foundations,Not published,Online in TrainTraq,Not published; confirm with provider,System managers; member-specific assignments apply.,Published offering; enrollment not checked,"TrainTraq course ID 2113158. Component of the System New Manager Training Program; operational/compliance content is included for context, not counted as dedicated leadership education.",orgdev@tamu.edu,Official provider page reviewed,2026-09-16,System,System employees,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O008,FMLA and Parental Leave Guidance for Supervisors,Navigate family and parental leave.,https://www.tamus.edu/business/training/system-new-manager-training/,A&M System Training,Other,System employees,Start at A&M; Lead people,Course,Manager foundations,Not published,Online in TrainTraq,Not published; confirm with provider,System managers; member-specific assignments apply.,Published offering; enrollment not checked,"TrainTraq course ID 2113159. Component of the System New Manager Training Program; operational/compliance content is included for context, not counted as dedicated leadership education.",orgdev@tamu.edu,Official provider page reviewed,2026-09-16,System,System employees,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O009,Managing Employee Performance,Support performance and evaluations.,https://www.tamus.edu/business/training/system-new-manager-training/,A&M System Training,Other,System employees,Start at A&M; Lead people,Course,Manager foundations,Not published,Online in TrainTraq,Not published; confirm with provider,System managers; member-specific assignments apply.,Published offering; enrollment not checked,"TrainTraq course ID 1003. Component of the System New Manager Training Program; operational/compliance content is included for context, not counted as dedicated leadership education.",orgdev@tamu.edu,Official provider page reviewed,2026-09-16,System,System employees,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O010,A&M System New Manager Training: Capstone,Review learning and next steps.,https://www.tamus.edu/business/training/system-new-manager-training/,A&M System Training,Other,System employees,Start at A&M; Lead people,Course,Manager foundations,Not published,Online in TrainTraq,Not published; confirm with provider,System managers; member-specific assignments apply.,Published offering; enrollment not checked,"TrainTraq course ID 2114986. Component of the System New Manager Training Program; operational/compliance content is included for context, not counted as dedicated leadership education.",orgdev@tamu.edu,Official provider page reviewed,2026-09-16,System,System employees,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O011,Leadership Enrichment Program,"Develop agency leadership through a year of learning, travel and a project.",https://tfsweb.tamu.edu/about/jobs/learning-and-development/,Texas A&M Forest Service,Other,Agency employees,Lead people; Lead across A&M,Program,Leadership,One year,Cohort and experiential activities,Not published; confirm with provider,Texas A&M Forest Service employees; selection applies.,Published offering; enrollment not checked,Agency-specific access; not a general TAMU employee program.,Texas A&M Forest Service learning and development,Official provider page reviewed,2026-09-16,System,Agency employees,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
O012,Texas A&M Forest Service Leadership Institute,Build leadership across natural resource and emergency management organizations.,https://tfsweb.tamu.edu/about/leadership-institute/,Texas A&M Forest Service,Other,External professionals,Lead across A&M,Program,Leadership,Two in-person meetings and five monthly virtual sessions,See provider,Not published; confirm with provider,Relevant partner organizations; confirm nomination and cohort criteria.,Published program; listed 2025–26 dates are past,Interest pathway available; verify next dates and cost.,Texas A&M Forest Service Leadership Institute,Official provider page reviewed,2026-09-16,External,External professionals,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
